,검색날짜,사용자,주제,언론사,제목,링크
21,2020-10-27,정동현,코로나,연합뉴스,소방관 5명 코로나19 확진…인천 119안전센터 2곳 폐쇄(종합),http://yna.kr/AKR20201027089751065?did=1195m
22,2020-10-27,정동현,코로나,머니투데이,80명 골프모임 갔다가 코로나…가족까지 31명에 번졌다(상보),http://news.mt.co.kr/mtview.php?no=2020102714322148840
23,2020-10-27,정동현,코로나,한겨레,방대본 “코로나 완치 뒤 뇌기능 저하 가능성 있다”,http://www.hani.co.kr/arti/society/health/967438.html
24,2020-10-27,정동현,코로나,TV조선,3분기 GDP 성장률 1.9%…코로나 딛고 첫 플러스 전환,http://news.tvchosun.com/site/data/html_dir/2020/10/27/2020102790056.html
25,2020-10-27,정동현,코로나,YTN,3분기 성장률 1.9%...코로나 후 첫 플러스 성장,https://www.ytn.co.kr/_ln/0102_202010271157586058
26,2020-10-27,정동현,코로나,KBS,‘코로나 9개월의 반성’ 백신 없는 마지막 겨울 되길…,http://news.kbs.co.kr/news/view.do?ncd=5035043&ref=A
27,2020-10-27,정동현,코로나,일간스포츠,"'안녕? 나야!' 측 ""김영광 코로나 19 음성, 촬영은 중단"" [전문]",http://isplus.live.joins.com/news/article/article.asp?total_id=23904607
28,2020-10-27,정동현,코로나,아이뉴스24,"[종합]'물류'로 코로나 이긴 삼성SDS, '분기 최대' 실적",http://www.inews24.com/view/1311016
29,2020-10-27,정동현,코로나,연합뉴스,인도네시아서 한국인 첫 코로나19 사망자 발생(종합),http://yna.kr/AKR20201027089351104?did=1195m
30,2020-10-27,정동현,코로나,파이낸셜뉴스,"홍남기 ""경제, 회복궤도 진입… 코로나19 재확산 아쉬워""(상보)",http://www.fnnews.com/news/202010270829053315
31,2020-10-27,정동현,코로나,연합뉴스,소방관 5명 코로나19 확진…인천 119안전센터 2곳 폐쇄(종합),http://yna.kr/AKR20201027089751065?did=1195m
32,2020-10-27,정동현,코로나,머니투데이,80명 골프모임 갔다가 코로나…가족까지 31명에 번졌다(상보),http://news.mt.co.kr/mtview.php?no=2020102714322148840
33,2020-10-27,정동현,코로나,한겨레,방대본 “코로나 완치 뒤 뇌기능 저하 가능성 있다”,http://www.hani.co.kr/arti/society/health/967438.html
34,2020-10-27,정동현,코로나,TV조선,3분기 GDP 성장률 1.9%…코로나 딛고 첫 플러스 전환,http://news.tvchosun.com/site/data/html_dir/2020/10/27/2020102790056.html
35,2020-10-27,정동현,코로나,YTN,3분기 성장률 1.9%...코로나 후 첫 플러스 성장,https://www.ytn.co.kr/_ln/0102_202010271157586058
36,2020-10-27,정동현,코로나,KBS,‘코로나 9개월의 반성’ 백신 없는 마지막 겨울 되길…,http://news.kbs.co.kr/news/view.do?ncd=5035043&ref=A
37,2020-10-27,정동현,코로나,일간스포츠,"'안녕? 나야!' 측 ""김영광 코로나 19 음성, 촬영은 중단"" [전문]",http://isplus.live.joins.com/news/article/article.asp?total_id=23904607
38,2020-10-27,정동현,코로나,아이뉴스24,"[종합]'물류'로 코로나 이긴 삼성SDS, '분기 최대' 실적",http://www.inews24.com/view/1311016
39,2020-10-27,정동현,코로나,연합뉴스,인도네시아서 한국인 첫 코로나19 사망자 발생(종합),http://yna.kr/AKR20201027089351104?did=1195m
40,2020-10-27,정동현,코로나,파이낸셜뉴스,"홍남기 ""경제, 회복궤도 진입… 코로나19 재확산 아쉬워""(상보)",http://www.fnnews.com/news/202010270829053315
41,2020-10-27,정동현,코로나,연합뉴스,소방관 5명 코로나19 확진…인천 119안전센터 2곳 폐쇄(종합),http://yna.kr/AKR20201027089751065?did=1195m
42,2020-10-27,정동현,코로나,머니투데이,80명 골프모임 갔다가 코로나…가족까지 31명에 번졌다(상보),http://news.mt.co.kr/mtview.php?no=2020102714322148840
43,2020-10-27,정동현,코로나,한겨레,방대본 “코로나 완치 뒤 뇌기능 저하 가능성 있다”,http://www.hani.co.kr/arti/society/health/967438.html
44,2020-10-27,정동현,코로나,TV조선,3분기 GDP 성장률 1.9%…코로나 딛고 첫 플러스 전환,http://news.tvchosun.com/site/data/html_dir/2020/10/27/2020102790056.html
45,2020-10-27,정동현,코로나,YTN,3분기 성장률 1.9%...코로나 후 첫 플러스 성장,https://www.ytn.co.kr/_ln/0102_202010271157586058
46,2020-10-27,정동현,코로나,KBS,‘코로나 9개월의 반성’ 백신 없는 마지막 겨울 되길…,http://news.kbs.co.kr/news/view.do?ncd=5035043&ref=A
47,2020-10-27,정동현,코로나,일간스포츠,"'안녕? 나야!' 측 ""김영광 코로나 19 음성, 촬영은 중단"" [전문]",http://isplus.live.joins.com/news/article/article.asp?total_id=23904607
48,2020-10-27,정동현,코로나,아이뉴스24,"[종합]'물류'로 코로나 이긴 삼성SDS, '분기 최대' 실적",http://www.inews24.com/view/1311016
49,2020-10-27,정동현,코로나,연합뉴스,인도네시아서 한국인 첫 코로나19 사망자 발생(종합),http://yna.kr/AKR20201027089351104?did=1195m
50,2020-10-27,정동현,코로나,파이낸셜뉴스,"홍남기 ""경제, 회복궤도 진입… 코로나19 재확산 아쉬워""(상보)",http://www.fnnews.com/news/202010270829053315
51,2020-10-27,정동현,코로나,연합뉴스,소방관 5명 코로나19 확진…인천 119안전센터 2곳 폐쇄(종합),http://yna.kr/AKR20201027089751065?did=1195m
52,2020-10-27,정동현,코로나,머니투데이,80명 골프모임 갔다가 코로나…가족까지 31명에 번졌다(상보),http://news.mt.co.kr/mtview.php?no=2020102714322148840
53,2020-10-27,정동현,코로나,한겨레,방대본 “코로나 완치 뒤 뇌기능 저하 가능성 있다”,http://www.hani.co.kr/arti/society/health/967438.html
54,2020-10-27,정동현,코로나,TV조선,3분기 GDP 성장률 1.9%…코로나 딛고 첫 플러스 전환,http://news.tvchosun.com/site/data/html_dir/2020/10/27/2020102790056.html
55,2020-10-27,정동현,코로나,YTN,3분기 성장률 1.9%...코로나 후 첫 플러스 성장,https://www.ytn.co.kr/_ln/0102_202010271157586058
56,2020-10-27,정동현,코로나,KBS,‘코로나 9개월의 반성’ 백신 없는 마지막 겨울 되길…,http://news.kbs.co.kr/news/view.do?ncd=5035043&ref=A
57,2020-10-27,정동현,코로나,일간스포츠,"'안녕? 나야!' 측 ""김영광 코로나 19 음성, 촬영은 중단"" [전문]",http://isplus.live.joins.com/news/article/article.asp?total_id=23904607
58,2020-10-27,정동현,코로나,아이뉴스24,"[종합]'물류'로 코로나 이긴 삼성SDS, '분기 최대' 실적",http://www.inews24.com/view/1311016
59,2020-10-27,정동현,코로나,연합뉴스,인도네시아서 한국인 첫 코로나19 사망자 발생(종합),http://yna.kr/AKR20201027089351104?did=1195m
60,2020-10-27,정동현,코로나,파이낸셜뉴스,"홍남기 ""경제, 회복궤도 진입… 코로나19 재확산 아쉬워""(상보)",http://www.fnnews.com/news/202010270829053315
61,2020-10-27,정동현,코로나,연합뉴스,소방관 5명 코로나19 확진…인천 119안전센터 2곳 폐쇄(종합),http://yna.kr/AKR20201027089751065?did=1195m
62,2020-10-27,정동현,코로나,머니투데이,80명 골프모임 갔다가 코로나…가족까지 31명에 번졌다(상보),http://news.mt.co.kr/mtview.php?no=2020102714322148840
63,2020-10-27,정동현,코로나,한겨레,방대본 “코로나 완치 뒤 뇌기능 저하 가능성 있다”,http://www.hani.co.kr/arti/society/health/967438.html
64,2020-10-27,정동현,코로나,TV조선,3분기 GDP 성장률 1.9%…코로나 딛고 첫 플러스 전환,http://news.tvchosun.com/site/data/html_dir/2020/10/27/2020102790056.html
65,2020-10-27,정동현,코로나,YTN,3분기 성장률 1.9%...코로나 후 첫 플러스 성장,https://www.ytn.co.kr/_ln/0102_202010271157586058
66,2020-10-27,정동현,코로나,KBS,‘코로나 9개월의 반성’ 백신 없는 마지막 겨울 되길…,http://news.kbs.co.kr/news/view.do?ncd=5035043&ref=A
67,2020-10-27,정동현,코로나,일간스포츠,"'안녕? 나야!' 측 ""김영광 코로나 19 음성, 촬영은 중단"" [전문]",http://isplus.live.joins.com/news/article/article.asp?total_id=23904607
68,2020-10-27,정동현,코로나,아이뉴스24,"[종합]'물류'로 코로나 이긴 삼성SDS, '분기 최대' 실적",http://www.inews24.com/view/1311016
69,2020-10-27,정동현,코로나,연합뉴스,인도네시아서 한국인 첫 코로나19 사망자 발생(종합),http://yna.kr/AKR20201027089351104?did=1195m
70,2020-10-27,정동현,코로나,파이낸셜뉴스,"홍남기 ""경제, 회복궤도 진입… 코로나19 재확산 아쉬워""(상보)",http://www.fnnews.com/news/202010270829053315
71,2020-10-27,정동현,코로나,연합뉴스,소방관 5명 코로나19 확진…인천 119안전센터 2곳 폐쇄(종합),http://yna.kr/AKR20201027089751065?did=1195m
72,2020-10-27,정동현,코로나,머니투데이,80명 골프모임 갔다가 코로나…가족까지 31명에 번졌다(상보),http://news.mt.co.kr/mtview.php?no=2020102714322148840
73,2020-10-27,정동현,코로나,한겨레,방대본 “코로나 완치 뒤 뇌기능 저하 가능성 있다”,http://www.hani.co.kr/arti/society/health/967438.html
74,2020-10-27,정동현,코로나,TV조선,3분기 GDP 성장률 1.9%…코로나 딛고 첫 플러스 전환,http://news.tvchosun.com/site/data/html_dir/2020/10/27/2020102790056.html
75,2020-10-27,정동현,코로나,YTN,3분기 성장률 1.9%...코로나 후 첫 플러스 성장,https://www.ytn.co.kr/_ln/0102_202010271157586058
76,2020-10-27,정동현,코로나,KBS,‘코로나 9개월의 반성’ 백신 없는 마지막 겨울 되길…,http://news.kbs.co.kr/news/view.do?ncd=5035043&ref=A
77,2020-10-27,정동현,코로나,일간스포츠,"'안녕? 나야!' 측 ""김영광 코로나 19 음성, 촬영은 중단"" [전문]",http://isplus.live.joins.com/news/article/article.asp?total_id=23904607
78,2020-10-27,정동현,코로나,아이뉴스24,"[종합]'물류'로 코로나 이긴 삼성SDS, '분기 최대' 실적",http://www.inews24.com/view/1311016
79,2020-10-27,정동현,코로나,연합뉴스,인도네시아서 한국인 첫 코로나19 사망자 발생(종합),http://yna.kr/AKR20201027089351104?did=1195m
80,2020-10-27,정동현,코로나,파이낸셜뉴스,"홍남기 ""경제, 회복궤도 진입… 코로나19 재확산 아쉬워""(상보)",http://www.fnnews.com/news/202010270829053315
81,2020-10-27,정동현,코로나,연합뉴스,소방관 5명 코로나19 확진…인천 119안전센터 2곳 폐쇄(종합),http://yna.kr/AKR20201027089751065?did=1195m
82,2020-10-27,정동현,코로나,머니투데이,80명 골프모임 갔다가 코로나…가족까지 31명에 번졌다(상보),http://news.mt.co.kr/mtview.php?no=2020102714322148840
83,2020-10-27,정동현,코로나,한겨레,방대본 “코로나 완치 뒤 뇌기능 저하 가능성 있다”,http://www.hani.co.kr/arti/society/health/967438.html
84,2020-10-27,정동현,코로나,TV조선,3분기 GDP 성장률 1.9%…코로나 딛고 첫 플러스 전환,http://news.tvchosun.com/site/data/html_dir/2020/10/27/2020102790056.html
85,2020-10-27,정동현,코로나,YTN,3분기 성장률 1.9%...코로나 후 첫 플러스 성장,https://www.ytn.co.kr/_ln/0102_202010271157586058
86,2020-10-27,정동현,코로나,KBS,‘코로나 9개월의 반성’ 백신 없는 마지막 겨울 되길…,http://news.kbs.co.kr/news/view.do?ncd=5035043&ref=A
87,2020-10-27,정동현,코로나,일간스포츠,"'안녕? 나야!' 측 ""김영광 코로나 19 음성, 촬영은 중단"" [전문]",http://isplus.live.joins.com/news/article/article.asp?total_id=23904607
88,2020-10-27,정동현,코로나,아이뉴스24,"[종합]'물류'로 코로나 이긴 삼성SDS, '분기 최대' 실적",http://www.inews24.com/view/1311016
89,2020-10-27,정동현,코로나,연합뉴스,인도네시아서 한국인 첫 코로나19 사망자 발생(종합),http://yna.kr/AKR20201027089351104?did=1195m
90,2020-10-27,정동현,코로나,파이낸셜뉴스,"홍남기 ""경제, 회복궤도 진입… 코로나19 재확산 아쉬워""(상보)",http://www.fnnews.com/news/202010270829053315
91,2020-10-27,정동현,코로나,연합뉴스,소방관 5명 코로나19 확진…인천 119안전센터 2곳 폐쇄(종합),http://yna.kr/AKR20201027089751065?did=1195m
92,2020-10-27,정동현,코로나,머니투데이,80명 골프모임 갔다가 코로나…가족까지 31명에 번졌다(상보),http://news.mt.co.kr/mtview.php?no=2020102714322148840
93,2020-10-27,정동현,코로나,한겨레,방대본 “코로나 완치 뒤 뇌기능 저하 가능성 있다”,http://www.hani.co.kr/arti/society/health/967438.html
94,2020-10-27,정동현,코로나,TV조선,3분기 GDP 성장률 1.9%…코로나 딛고 첫 플러스 전환,http://news.tvchosun.com/site/data/html_dir/2020/10/27/2020102790056.html
95,2020-10-27,정동현,코로나,YTN,3분기 성장률 1.9%...코로나 후 첫 플러스 성장,https://www.ytn.co.kr/_ln/0102_202010271157586058
96,2020-10-27,정동현,코로나,KBS,‘코로나 9개월의 반성’ 백신 없는 마지막 겨울 되길…,http://news.kbs.co.kr/news/view.do?ncd=5035043&ref=A
97,2020-10-27,정동현,코로나,일간스포츠,"'안녕? 나야!' 측 ""김영광 코로나 19 음성, 촬영은 중단"" [전문]",http://isplus.live.joins.com/news/article/article.asp?total_id=23904607
98,2020-10-27,정동현,코로나,아이뉴스24,"[종합]'물류'로 코로나 이긴 삼성SDS, '분기 최대' 실적",http://www.inews24.com/view/1311016
99,2020-10-27,정동현,코로나,연합뉴스,인도네시아서 한국인 첫 코로나19 사망자 발생(종합),http://yna.kr/AKR20201027089351104?did=1195m
100,2020-10-27,정동현,코로나,파이낸셜뉴스,"홍남기 ""경제, 회복궤도 진입… 코로나19 재확산 아쉬워""(상보)",http://www.fnnews.com/news/202010270829053315
101,2020-10-27,정동현,코로나,연합뉴스,소방관 5명 코로나19 확진…인천 119안전센터 2곳 폐쇄(종합),http://yna.kr/AKR20201027089751065?did=1195m
102,2020-10-27,정동현,코로나,머니투데이,80명 골프모임 갔다가 코로나…가족까지 31명에 번졌다(상보),http://news.mt.co.kr/mtview.php?no=2020102714322148840
103,2020-10-27,정동현,코로나,한겨레,방대본 “코로나 완치 뒤 뇌기능 저하 가능성 있다”,http://www.hani.co.kr/arti/society/health/967438.html
104,2020-10-27,정동현,코로나,TV조선,3분기 GDP 성장률 1.9%…코로나 딛고 첫 플러스 전환,http://news.tvchosun.com/site/data/html_dir/2020/10/27/2020102790056.html
105,2020-10-27,정동현,코로나,YTN,3분기 성장률 1.9%...코로나 후 첫 플러스 성장,https://www.ytn.co.kr/_ln/0102_202010271157586058
106,2020-10-27,정동현,코로나,KBS,‘코로나 9개월의 반성’ 백신 없는 마지막 겨울 되길…,http://news.kbs.co.kr/news/view.do?ncd=5035043&ref=A
107,2020-10-27,정동현,코로나,일간스포츠,"'안녕? 나야!' 측 ""김영광 코로나 19 음성, 촬영은 중단"" [전문]",http://isplus.live.joins.com/news/article/article.asp?total_id=23904607
108,2020-10-27,정동현,코로나,아이뉴스24,"[종합]'물류'로 코로나 이긴 삼성SDS, '분기 최대' 실적",http://www.inews24.com/view/1311016
109,2020-10-27,정동현,코로나,연합뉴스,인도네시아서 한국인 첫 코로나19 사망자 발생(종합),http://yna.kr/AKR20201027089351104?did=1195m
110,2020-10-27,정동현,코로나,파이낸셜뉴스,"홍남기 ""경제, 회복궤도 진입… 코로나19 재확산 아쉬워""(상보)",http://www.fnnews.com/news/202010270829053315
111,2020-10-27,정동현,코로나,연합뉴스,소방관 5명 코로나19 확진…인천 119안전센터 2곳 폐쇄(종합),http://yna.kr/AKR20201027089751065?did=1195m
112,2020-10-27,정동현,코로나,머니투데이,80명 골프모임 갔다가 코로나…가족까지 31명에 번졌다(상보),http://news.mt.co.kr/mtview.php?no=2020102714322148840
113,2020-10-27,정동현,코로나,한겨레,방대본 “코로나 완치 뒤 뇌기능 저하 가능성 있다”,http://www.hani.co.kr/arti/society/health/967438.html
114,2020-10-27,정동현,코로나,TV조선,3분기 GDP 성장률 1.9%…코로나 딛고 첫 플러스 전환,http://news.tvchosun.com/site/data/html_dir/2020/10/27/2020102790056.html
115,2020-10-27,정동현,코로나,YTN,3분기 성장률 1.9%...코로나 후 첫 플러스 성장,https://www.ytn.co.kr/_ln/0102_202010271157586058
116,2020-10-27,정동현,코로나,KBS,‘코로나 9개월의 반성’ 백신 없는 마지막 겨울 되길…,http://news.kbs.co.kr/news/view.do?ncd=5035043&ref=A
117,2020-10-27,정동현,코로나,일간스포츠,"'안녕? 나야!' 측 ""김영광 코로나 19 음성, 촬영은 중단"" [전문]",http://isplus.live.joins.com/news/article/article.asp?total_id=23904607
118,2020-10-27,정동현,코로나,아이뉴스24,"[종합]'물류'로 코로나 이긴 삼성SDS, '분기 최대' 실적",http://www.inews24.com/view/1311016
119,2020-10-27,정동현,코로나,연합뉴스,인도네시아서 한국인 첫 코로나19 사망자 발생(종합),http://yna.kr/AKR20201027089351104?did=1195m
120,2020-10-27,정동현,코로나,파이낸셜뉴스,"홍남기 ""경제, 회복궤도 진입… 코로나19 재확산 아쉬워""(상보)",http://www.fnnews.com/news/202010270829053315
121,2020-10-27,정동현,코로나,연합뉴스,소방관 5명 코로나19 확진…인천 119안전센터 2곳 폐쇄(종합),http://yna.kr/AKR20201027089751065?did=1195m
122,2020-10-27,정동현,코로나,머니투데이,80명 골프모임 갔다가 코로나…가족까지 31명에 번졌다(상보),http://news.mt.co.kr/mtview.php?no=2020102714322148840
123,2020-10-27,정동현,코로나,한겨레,방대본 “코로나 완치 뒤 뇌기능 저하 가능성 있다”,http://www.hani.co.kr/arti/society/health/967438.html
124,2020-10-27,정동현,코로나,TV조선,3분기 GDP 성장률 1.9%…코로나 딛고 첫 플러스 전환,http://news.tvchosun.com/site/data/html_dir/2020/10/27/2020102790056.html
125,2020-10-27,정동현,코로나,YTN,3분기 성장률 1.9%...코로나 후 첫 플러스 성장,https://www.ytn.co.kr/_ln/0102_202010271157586058
126,2020-10-27,정동현,코로나,KBS,‘코로나 9개월의 반성’ 백신 없는 마지막 겨울 되길…,http://news.kbs.co.kr/news/view.do?ncd=5035043&ref=A
127,2020-10-27,정동현,코로나,일간스포츠,"'안녕? 나야!' 측 ""김영광 코로나 19 음성, 촬영은 중단"" [전문]",http://isplus.live.joins.com/news/article/article.asp?total_id=23904607
128,2020-10-27,정동현,코로나,아이뉴스24,"[종합]'물류'로 코로나 이긴 삼성SDS, '분기 최대' 실적",http://www.inews24.com/view/1311016
129,2020-10-27,정동현,코로나,연합뉴스,인도네시아서 한국인 첫 코로나19 사망자 발생(종합),http://yna.kr/AKR20201027089351104?did=1195m
130,2020-10-27,정동현,코로나,파이낸셜뉴스,"홍남기 ""경제, 회복궤도 진입… 코로나19 재확산 아쉬워""(상보)",http://www.fnnews.com/news/202010270829053315
131,2020-10-27,정동현,코로나,연합뉴스,소방관 5명 코로나19 확진…인천 119안전센터 2곳 폐쇄(종합),http://yna.kr/AKR20201027089751065?did=1195m
132,2020-10-27,정동현,코로나,머니투데이,80명 골프모임 갔다가 코로나…가족까지 31명에 번졌다(상보),http://news.mt.co.kr/mtview.php?no=2020102714322148840
133,2020-10-27,정동현,코로나,한겨레,방대본 “코로나 완치 뒤 뇌기능 저하 가능성 있다”,http://www.hani.co.kr/arti/society/health/967438.html
134,2020-10-27,정동현,코로나,TV조선,3분기 GDP 성장률 1.9%…코로나 딛고 첫 플러스 전환,http://news.tvchosun.com/site/data/html_dir/2020/10/27/2020102790056.html
135,2020-10-27,정동현,코로나,YTN,3분기 성장률 1.9%...코로나 후 첫 플러스 성장,https://www.ytn.co.kr/_ln/0102_202010271157586058
136,2020-10-27,정동현,코로나,KBS,‘코로나 9개월의 반성’ 백신 없는 마지막 겨울 되길…,http://news.kbs.co.kr/news/view.do?ncd=5035043&ref=A
137,2020-10-27,정동현,코로나,일간스포츠,"'안녕? 나야!' 측 ""김영광 코로나 19 음성, 촬영은 중단"" [전문]",http://isplus.live.joins.com/news/article/article.asp?total_id=23904607
138,2020-10-27,정동현,코로나,아이뉴스24,"[종합]'물류'로 코로나 이긴 삼성SDS, '분기 최대' 실적",http://www.inews24.com/view/1311016
139,2020-10-27,정동현,코로나,연합뉴스,인도네시아서 한국인 첫 코로나19 사망자 발생(종합),http://yna.kr/AKR20201027089351104?did=1195m
140,2020-10-27,정동현,코로나,파이낸셜뉴스,"홍남기 ""경제, 회복궤도 진입… 코로나19 재확산 아쉬워""(상보)",http://www.fnnews.com/news/202010270829053315
141,2020-10-27,정동현,코로나,연합뉴스,소방관 5명 코로나19 확진…인천 119안전센터 2곳 폐쇄(종합),http://yna.kr/AKR20201027089751065?did=1195m
142,2020-10-27,정동현,코로나,머니투데이,80명 골프모임 갔다가 코로나…가족까지 31명에 번졌다(상보),http://news.mt.co.kr/mtview.php?no=2020102714322148840
143,2020-10-27,정동현,코로나,한겨레,방대본 “코로나 완치 뒤 뇌기능 저하 가능성 있다”,http://www.hani.co.kr/arti/society/health/967438.html
144,2020-10-27,정동현,코로나,TV조선,3분기 GDP 성장률 1.9%…코로나 딛고 첫 플러스 전환,http://news.tvchosun.com/site/data/html_dir/2020/10/27/2020102790056.html
145,2020-10-27,정동현,코로나,YTN,3분기 성장률 1.9%...코로나 후 첫 플러스 성장,https://www.ytn.co.kr/_ln/0102_202010271157586058
146,2020-10-27,정동현,코로나,KBS,‘코로나 9개월의 반성’ 백신 없는 마지막 겨울 되길…,http://news.kbs.co.kr/news/view.do?ncd=5035043&ref=A
147,2020-10-27,정동현,코로나,일간스포츠,"'안녕? 나야!' 측 ""김영광 코로나 19 음성, 촬영은 중단"" [전문]",http://isplus.live.joins.com/news/article/article.asp?total_id=23904607
148,2020-10-27,정동현,코로나,아이뉴스24,"[종합]'물류'로 코로나 이긴 삼성SDS, '분기 최대' 실적",http://www.inews24.com/view/1311016
149,2020-10-27,정동현,코로나,연합뉴스,인도네시아서 한국인 첫 코로나19 사망자 발생(종합),http://yna.kr/AKR20201027089351104?did=1195m
150,2020-10-27,정동현,코로나,파이낸셜뉴스,"홍남기 ""경제, 회복궤도 진입… 코로나19 재확산 아쉬워""(상보)",http://www.fnnews.com/news/202010270829053315
151,2020-10-27,정동현,코로나,연합뉴스,소방관 5명 코로나19 확진…인천 119안전센터 2곳 폐쇄(종합),http://yna.kr/AKR20201027089751065?did=1195m
152,2020-10-27,정동현,코로나,머니투데이,80명 골프모임 갔다가 코로나…가족까지 31명에 번졌다(상보),http://news.mt.co.kr/mtview.php?no=2020102714322148840
153,2020-10-27,정동현,코로나,한겨레,방대본 “코로나 완치 뒤 뇌기능 저하 가능성 있다”,http://www.hani.co.kr/arti/society/health/967438.html
154,2020-10-27,정동현,코로나,TV조선,3분기 GDP 성장률 1.9%…코로나 딛고 첫 플러스 전환,http://news.tvchosun.com/site/data/html_dir/2020/10/27/2020102790056.html
155,2020-10-27,정동현,코로나,YTN,3분기 성장률 1.9%...코로나 후 첫 플러스 성장,https://www.ytn.co.kr/_ln/0102_202010271157586058
156,2020-10-27,정동현,코로나,KBS,‘코로나 9개월의 반성’ 백신 없는 마지막 겨울 되길…,http://news.kbs.co.kr/news/view.do?ncd=5035043&ref=A
157,2020-10-27,정동현,코로나,일간스포츠,"'안녕? 나야!' 측 ""김영광 코로나 19 음성, 촬영은 중단"" [전문]",http://isplus.live.joins.com/news/article/article.asp?total_id=23904607
158,2020-10-27,정동현,코로나,아이뉴스24,"[종합]'물류'로 코로나 이긴 삼성SDS, '분기 최대' 실적",http://www.inews24.com/view/1311016
159,2020-10-27,정동현,코로나,연합뉴스,인도네시아서 한국인 첫 코로나19 사망자 발생(종합),http://yna.kr/AKR20201027089351104?did=1195m
160,2020-10-27,정동현,코로나,파이낸셜뉴스,"홍남기 ""경제, 회복궤도 진입… 코로나19 재확산 아쉬워""(상보)",http://www.fnnews.com/news/202010270829053315
161,2020-10-27,정동현,코로나,연합뉴스,소방관 5명 코로나19 확진…인천 119안전센터 2곳 폐쇄(종합),http://yna.kr/AKR20201027089751065?did=1195m
162,2020-10-27,정동현,코로나,머니투데이,80명 골프모임 갔다가 코로나…가족까지 31명에 번졌다(상보),http://news.mt.co.kr/mtview.php?no=2020102714322148840
163,2020-10-27,정동현,코로나,한겨레,방대본 “코로나 완치 뒤 뇌기능 저하 가능성 있다”,http://www.hani.co.kr/arti/society/health/967438.html
